Gene	Tau	Classification	Specific_parts
Glyma.01G038700	0.27949163227379237	Broad	NA
Glyma.01G038800	0.2211568551175542	Broad	NA
Glyma.01G038900	0.4893559033122241	Broad	NA
Glyma.01G039100	0.19243632865581292	Broad	NA
Glyma.01G039200	0.5029916314269572	Broad	NA
Glyma.01G039500	0.3836552112577409	Broad	NA
Glyma.01G039800	0.4620504757127547	Broad	NA
Glyma.01G039900	0.5322528122268055	Broad	NA
Glyma.01G040000	0.38808381262247094	Broad	NA
Glyma.01G040200	0.624978388514251	Broad	NA
Glyma.01G040300	0.45535074232025835	Broad	NA
Glyma.01G040400	0.5233845468159019	Broad	NA
Glyma.01G040500	0.3379090001000808	Broad	NA
Glyma.01G040600	0.7286013847907022	Broad	NA
Glyma.01G040700	0.5839225809375672	Broad	NA
Glyma.01G040900	0.7149094193004398	Broad	NA
Glyma.01G041200	0.8287842486613228	Broad	NA
Glyma.01G041300	0.18611631576055265	Broad	NA
Glyma.01G041400	0.6142441647160426	Broad	NA
Glyma.01G041500	0.4375927381026461	Broad	NA
Glyma.01G041651	0.18268836176650408	Broad	NA
Glyma.01G041700	0.5126021349242122	Broad	NA
Glyma.01G042300	0.3217766898019562	Broad	NA
Glyma.01G042400	0.22042990836883727	Broad	NA
Glyma.01G042800	0.23762014874636142	Broad	NA
Glyma.01G043000	0.5297868861913018	Broad	NA
Glyma.01G043400	0.7280403146499479	Broad	NA
Glyma.01G043600	0.695649756758137	Broad	NA
Glyma.01G043800	0.1850763972498377	Broad	NA
Glyma.01G044000	0.4439596657710041	Broad	NA
Glyma.01G044100	0.5001549631657444	Broad	NA
Glyma.01G044200	0.2677552942422033	Broad	NA
Glyma.01G044500	0.7366926096941385	Broad	NA
Glyma.01G044600	0.5698101025033547	Broad	NA
Glyma.01G044650	0.4566607619928541	Broad	NA
Glyma.01G044800	0.8086432070054619	Broad	NA
Glyma.01G044900	0.4457753933862582	Broad	NA
Glyma.01G045100	0.3316261439273577	Broad	NA
Glyma.01G045200	0.43931335495335855	Broad	NA
Glyma.01G045400	0.5906888736798034	Broad	NA
Glyma.01G045500	0.6347179214512594	Broad	NA
